ID,Type,Original line,The translation
304,Speech (Unit 437),Tomorrow you will be chopped up and cooked for the master to eat.,Morgen wordt je gehakt en gekookt voor de meester om te eten.
305,Speech (Player),"At last, my night vision camera...","Eindelijk, mijn nachtvisie camera..."
306,Speech (Player),"Oh no, it looks like the lens cracked when I dropped it.","Oh nee, het lijkt op de lens gebarsten toen ik het viel."
307,Speech (???),...............,...............
308,Hotspot,Gate,"Poort "
309,Hotspot,Fire,Vuur
310,Hotspot,Eyeball,Oogbal
311,Hotspot,Pipe,Pijp
312,Hotspot,Bloody Remains,Bloedige Stukjes
313,Hotspot,Raw Meat,"Rauw Vlees "
314,Hotspot,Bloody Remains,Bloedige Stukjes
315,Hotspot,Custard Splat,Custard Vlek
316,Hotspot,Trees,Bomen
317,Hotspot,Stump,Stomp
318,Hotspot,Stump,Stomp
319,Hotspot,Droid,Droid
320,DialogueOption,[Go Left],[Ga Naar Links]
321,DialogueOption,[Go Right],[Ga Naar Rechts]
322,DialogueOption,[Go Left],[Ga Naar Links]
323,DialogueOption,[Go Right],[Ga Naar Rechts]
324,DialogueOption,"The master, is that the thing that took me?","De meester, is dat het ding dat me heeft genomen?"
325,DialogueOption,Why was I brought here?,Waarom werd ik hier gebracht?
326,DialogueOption,I'm not food!,Ik ben geen vlees!
327,DialogueOption,Who are you?,"Wie ben jij? "
328,DialogueOption,What are you doing?,"Wat ben je aan het doen? "
329,DialogueOption,Have you seen my night vision camera?,Heb je mijn nachtcamera gezien?
330,DialogueOption,Goodbye.,Doei.
331,DialogueOption,[Go Left],[Ga Naar Links]
332,DialogueOption,[Go Right],[Ga Naar Rechts]
333,DialogueOption,I need to get to the outskirts and find the satellite station.,Ik moet naar de outskirts komen en het satellite staion vinden.
334,DialogueOption,I need to find my night vision camera.,Ik moet mijn nachtcamera vinden.
335,DialogueOption,None of your business.,"Gaat je niks aan. "
336,DialogueOption,I plan to be long gone before your master finds out.,Ik ben van plan om lang weg te zijn voordat je meester uitvindt.
337,DialogueOption,"Come with me, you're a slave!","Kom met me, jij bent een slaaf!"
338,DialogueOption,You're a coward.,Je bent een lafaard.
339,DialogueOption,[Go Left],[Ga Naar Links]
340,DialogueOption,[Go Right],[Ga Naar Rechts]
341,DialogueOption,"Please, don't kill me...","Alsjeblieft, vermoord me niet ..."
342,DialogueOption,Where are you taking me?,"Waar breng je me heen? "
343,DialogueOption,Who are you?,"Wie ben je? "
344,DialogueOption,...,...
345,Speech (Player),At last I'm here... This is the entrance to the satellite station.,Eindelijk ben ik hier ... Dit is de ingang van het satellite station.
346,Speech (Player),Hmm... How do I get in?,Hmm... Hoe kom ik hier in?
347,Speech (Lala_Alive),......................................,......................................
348,Speech (Player),Why are you here anyway? I thought you were... well..,Waarom ben je hier toch? Ik dacht dat je ... was ..
349,Speech (Lala_Alive),"I ran away... from Tinky Winky... before he caught me in the house. I ran away until I came across this place, so I used it as a hideout. He tried to-... H-he caused-... *sniff* They are all dead.","Ik rende weg ... van Tinky Winky ... voordat hij me in het huis betrapte. Ik rende weg tot ik over deze plek kwam, dus ik gebruikte het als een schuilplaats. Hij probeerde te ... H-hij veroorzaakt -... * snuif * Ze zijn allemaal dood."
350,Speech (Player),"Oh no, Laa Laa's here...","Oh nee, Laa Laa is hier..."
351,Speech (Player),"Tinky Winky scratched out her eyes, she can't see me.","Tinky Winky krabde haar ogen uit, ze kan me niet zien."
352,Speech (Player),"But she can still hear me, I need to be quiet...","Maar ze kan me nog steeds horen, ik moet stil zijn..."
353,Speech (Player),I should find all the custards in this area before proceeding to the satellite station.,Ik zou al de vla in dit gebied moeten vinden voordat ik verder ga naar het satellite station.
354,Speech (Lala_Alive),W-who are you? How do you know me?,Wie ben jij? Hoe ken je me?
355,Speech (Player),"The satellite station isn't far from here, let's go.","Het satellite station is niet ver van hier, laten we gaan."
356,Speech (Lala_Alive),*Cough cough cough*,*Hoest hoest hoest*
357,Speech (Lala_Alive),So... *sniff* what's your plan?,Dus ... * snuiff * wat is jouw plan?
358,Speech (Player),"We need to get to the satellite station, we'll be able to find help there.  Whatever you do, no matter now hungry you are, don't eat any custards you find.","We moeten naar het satellite station, we kunnen daar hulp vinden. Wat je ook doet, maakt niet uit hoe honger je bent, eet geen custards die je vindt."
359,Speech (Lala_Alive),But.. I ate a custard.. the night that all of this happened.,Maar .. ik at een custard in de nacht dat alles dit gebeurde.
360,Speech (Player),"Come on, follow me.","Kom op, volg me."
361,Speech (Player),My night vision camera might be useful for navigating through this rubble.,Mijn nachtvisiecamera kan nuttig zijn om door deze rubriek te navigeren.
362,Speech (Lala_Alive),I'm just... broken.,Ik ben gewoon ... gebroken.
363,Speech (Lala_Alive),"Yeah.. *sniff* It's the only place that wasn't secured by some creepy creature. I had a tough time going through that.. horrible, brown monster.","Ja. *Sniff* Het is de enige plaats die niet door een viezelachtig schepsel werd beveiligd. Ik heb een moeilijke tijd doorgegaan die .. verschrikkelijk, bruin monster."
364,Speech (Lala_Alive),It hurts.. so much...,"Het doet zo veel pijn... "
365,Speech (Lala_Alive),I don't know if I'm going to be ok...,Ik weet niet of ik ok wordt
366,Speech (Lala_Alive),Y-yes... I'm sorry.,"Ja, het spijt me."
367,Speech (Lala_Alive),W-who are you?! D-don't touch me!,W-wie ben je ?! R-raak me niet aan!
368,Speech (Player),That's the station alright...,Dat is het station...
369,Speech (Lala_Alive),I will... *Sniff* ...-I miss home...,Ik zal ... * Sniff * ...- Ik mis thuis ...
370,Speech (Lala_Alive),I need to know what's going on here if you're going to talk to me.,k moet weten wat hier aan de hand is als je met me wilt praten.
371,Speech (Lala_Alive),Go away!,"Ga weg! "
372,Speech (Lala_Alive),"W-.. wait, don't leave me.  Please..","W- .. wacht, laat me niet achter. Alsjeblieft.."
373,Speech (Lala_Alive),G-..... Guardian..?,B-..... Bewaker..?
374,Speech (Lala_Alive),...I'm sorry.,"...Het spijt me. "
375,Speech (Player),These pillars look like they're about to collapse...,Deze pijlers lijken erop te vallen ...
376,Speech (Player),Maybe I could find a way to trap Laa Laa under them.,Misschien kan ik een manier vinden om Laa Laa onder hen te vallen.
377,Speech (Player),The station goes all the way through these mountains.,Het station gaat helemaal door deze bergen.
378,Speech (Player),I wonder how I can open this door.,Ik vraag me af hoe ik deze deur kan openen.
379,Speech (Lala_Alive),"And who the hell are you to give me orders? Leave, now.",En wie is het met jou om mij orders te geven? Vertrek nu.
380,Speech (Lala_Alive),"Tell me about it, I'm not feeling pretty well.","Vertel me erover, ik voel me niet goed."
381,Speech (Player),Another custard? How did that get here...,Een andere custard hoe komt dat hier?
382,Speech (Player),I should look around this area for more custards before something eats them.,Ik zou om dit gebied moeten kijken voor meer custards voordat iets hen eet.
383,Speech (Player),"Alright, I think that's all of them...","Oké, ik denk dat het allemaal is ..."
384,Speech (Player),"Damn, Laa Laa is blocking the exit, I'll need to get rid of her somehow.","Verdomme, Laa Laa blokkeert de uitgang, ik moet op een of andere manier van haar afkomen."
385,Speech (Lala_Alive),"Please, don't leave me here...","Alsjeblieft, laat me hier niet alleen..."
386,Speech (Lala_Alive),"I'm trying, but... it hurts...","Ik probeer, maar ... het doet pijn."
387,Speech (Lala_Alive),"Hmm, Fine then... ","Hmm, fijn dan ..."
388,Speech (Player),"I was ordered to watch Tinky Winky, Dipsy, Po and you.","Ik had de taak om Tinky Winky, Dipsy, Po en jou te bekijken."
389,Speech (Player),"I'm meant to prevent things from going wrong, such as preventing any of you from leaving the Teletubby lands.","Ik ben bedoeld om te voorkomen dat dingen mis gaan, zoals het voorkomen dat iemand van jullie Teletubby land verlaat."
390,Speech (Lala_Alive),...What are you talking about?,"...Waar heb je het over? "
391,Speech (Player),"Everytime any of you tried to leave the lands, we would erase any memories of what you've seen outside the Teletubby Lands, and drag you back in. I'm supposed to look out for when that happens.","Elke keer dat ieder van jullie het land probeerde te verlaten, zouden we alle herinneringen wissen van wat je buiten de Teletubby Land hebt gezien, en je terugtrekt. Ik moet erop kijken dat wanneer dat gebeurt."
392,Speech (Lala_Alive),"..""We""?","..""Wij""?"
393,Speech (Player),"Yes. There's more people working with me, but that's classified.","Ja. Er werken meer mensen met mij, maar dat is geclassificeerd."
394,Speech (Lala_Alive),I-... No. That can't be true.,Nee ... Dat kan niet waar zijn.
395,Speech (Lala_Alive),...Why weren't we aware of this?,Waarom waren we daar niet van bewust?
396,Speech (Player),We couldn't risk your security. You could of tried to escape if you knew there was something more beyond the mountains.,We kunnen uw veiligheid niet bedreigen. Je zou kunnen ontsnappen als je wist dat er iets meer dan de bergen was.
397,Speech (Lala_Alive),...You knew.,...Jij wist het
398,Speech (Lala_Alive),You knew this would happen. You knew something was wrong.,Je wist dat dit zou gebeuren. Je wist dat er iets mis was.
399,Speech (Player),"I'm sorry, but I didn't-","Het spijt me, maar ik he-"
400,Speech (Lala_Alive),You knew that whatever caused Tinky Winky to become a monster existed. Now they are dead.,"Je wist dat alles wat Tinky Winky tot een monster zou worden, bestond. Nu zijn ze dood."
401,Speech (Lala_Alive),ALL OF THEM are dead. And it's only you to blame for not doing anything about it!,ZE ZIJN ALLEMAAL dood. En het is je alleen maar de van jou schuld om er niets aan te doen!
402,Speech (Player),"Laa Laa, please, listen to me.","Laa Laa, alsjeblieft, luister naar mij."
403,Speech (Lala_Alive),"NO, YOU LISTEN. You could of done something to stop this, and you didn't.  You just wanted to stay hidden in your wonderful cave stalking us.","NEE, JIJ LUISTERD. Je zou iets kunnen doen om dit te stoppen, en dat deed je niet. Je wilde gewoon verborgen blijven in je prachtige grot, die ons stalkte."
404,Speech (Lala_Alive),"You don't care about us, you just care about your god damn job! If you did care then you could of showed yourself to us!","Het maakt je niet uit, je geeft je gewoon je goddelijke baan! Als je deed, dan kun je jezelf aan ons laten zien!"
405,Speech (Player),"I had no clue this was going to happen, alright. I only knew this after it was too late, stop blaming me when I knew just as much as you did!","Ik had geen idee dat dit zou gebeuren, oké. Ik wist dit alleen nadat het te laat was, stop met mij de schuldt te geven als ik net zoveel wist wat jij deed!"
406,Speech (Player),"I'm going to take you with me and find out what's going on, but if you can't stay calm, I'm going leave you here and go on my own, you hear me?","Ik ga je meenemen en erachter komen wat er aan de hand is, maar als je niet kalm blijft, ga ik je weg en ga alleen maar hoor je me?"
407,Speech (Lala_Alive),"... You're right. I'm sorry. I'm just.. really mad, at everything. My friends are dead and I-...","... Je hebt gelijk. Het spijt me. Ik ben gewoon .. heel boos, in alles. Mijn vrienden zijn dood en ik ..."
408,Speech (Lala_Alive),But I need to know who you are. I've never seen you in my life.,Maar ik moet weten wie je bent. Ik heb je nooit in mijn leven gezien.
409,Speech (Lala_Alive),One can only hope...,Men kan alleen maar hopen ...
410,Speech (Lala_Alive),Yeah.. I'm going to be fine.,Ja... alles komt goed.
411,Speech (Player),I'm sorry...,Het spijt me...
412,Speech (Player),You're at rest now....,Je bent nu in rust.
413,Speech (Lala_Alive),"I know, I know...","Ik weet het... "
414,Speech (Player),"Finially, I'm in the outskirts.  The satellite station isn't far from here...",Eindelijk ben ik bij de outskirts. Het satellite station ligt hier niet ver vandaan.
415,Speech (Player),I just need to get out of this canyon.,Ik moet gewoon uit deze canyon komen.
416,Speech (Player),I'm glad it's dawn.,Ik ben blij dat het dag is.
417,Speech (Lala_Alive),*Sniff* Ok...,*Sniff* Oke...
418,Speech (Lala_Alive),...-Ten...  ... Nine...  ... Eight...  ....,...-Tien...  ... Negen...  ... Acht...  ....
419,Speech (Lala_Alive),...-Seven...  ... Six...  ... Five...  ...,...-Zeven...  ... Zes...  ... Vijf...  ...
420,Speech (Lala_Alive),I hope you're right...,Ik hoop dat je gelijk hebt...
421,Speech (Lala_Alive),"It's okay.. you're not responsable for this, you shouldn't feel sorry.","Het is oke .. je bent hier niet verantwoordelijk voor, je mag geen spijt hebben."
422,Speech (Lala_Alive),S- ...Sorry?  Sorry for what?,S- ...Sorry?  Sorry voor wat?
423,Speech (Lala_Alive),*Cough* I don't think.. I'll be strong much longer-...,* Hoest * Ik denk niet .. Ik langer sterker zal zijn ...
424,Speech (Lala_Alive),I wish I could say that's true but.. you don't.,"Ik wou dat ik kon zeggen dat dat waar is, maar dat doe je niet."
425,Speech (Player),"Hmm, maybe a rock will come in handy.","Hmm, misschien komt een steen goed van pas."
426,Speech (Lala_Alive),I feel.. -really strange...,Ik voel me .. -Echt raar ...
427,Speech (Lala_Alive),Wh-... Where are you going?,Wa -... Waar ga je heen?
428,Speech (Player),Blood... It's never a good sign.,Bloed... Dat is nooit een goed teken.
429,Speech (Lala_Alive),Ahh!,Ahh!
430,Speech (Lala_Alive),"Please, leave me alone!","Alsjeblieft, laat me alleen!"
431,Speech (Player),The sun is almost up...,Het is bijna morgen...
432,Speech (Lala_Alive),Sure... at least you apologized.,Zeker ... tenminste verontschuldigde je je.
433,Speech (Player),That should do it.,Dat zou het moeten doen.
434,Speech (Lala_Alive),P-please... Don't touch me..,A-alsjeblieft... raak me niet aan...
435,Speech (Lala_Alive),"Yeah, that's what I thought.","Ja, dat dacht ik ook."
436,Speech (Lala_Alive),Or else.. what? You're going to hit me?,Of anders .. wat? Ga je me slaan?
437,Speech (Lala_Alive),I.. can't.. go on.. anymore...,Ik kan niet .. verder ..
438,Speech (Lala_Alive),My whole body hurts... I don't want to turn into a monster.,Mijn hele lichaam doet pijn ... Ik wil niet een monster worden.
439,Speech (Lala_Alive),...-I just need to sleep... for a minute.,... ik moet even slapen ...
440,Speech (Player),"I-... Ok Laa Laa...  Just keep your eyes closed, you'll be fine.","Ik ... Ok, Laa Laa ... Hou je ogen dicht, het gaat goed met je."
441,Speech (Player),I'm glad it's dawn...,Ik ben blij dat het morgen is...
442,Hotspot,Blood,Bloed
443,Hotspot,Custard,Custard
444,Hotspot,Satellite Station,Satellite Station
445,Hotspot,Custard,Custard
446,Hotspot,Lever,Schakelaar
447,Hotspot,Climb,Klim
448,Hotspot,Custard,Custard
449,Hotspot,Lever,Schakelaar
450,Hotspot,Lever,Schakelaar
451,Hotspot,Custard,Custard
452,Hotspot,Custard,Custard
453,Hotspot,Custard,Custard
454,Hotspot,Satellite,Satellite
455,Hotspot,Lever,Schakelaar
456,Hotspot,Custard,Custard
457,Hotspot,Lever,Schakelaar
458,Hotspot,Custard,Custard
459,DialogueOption,Then.. let's hope nothing bad happens until we find a cure.,Dan .. laten we hopen dat er niets slecht gebeurt tot we een medicijn vinden.
460,DialogueOption,"Damn, that's not good...","Verdomme, dat is niet goed ..."
461,DialogueOption,"You're going to be fine, I promise.","Je alles komt goed, ik beloof het."
462,DialogueOption,Are you okay? What are you doing here?,"Ben je oke? Wat doe je hier? "
463,DialogueOption,"Take it easy, I'm not going to hurt you.","Doe is rustig, ik ga je niet pijn doen."
464,DialogueOption,"If I tell you to turn around, you'll turn around.","Als ik je zeg dat je omdraait, ga je omdraaien."
465,DialogueOption,I'm... I'm the White Tubby. I'm the Guardian.,Ik... Ik ben White Tubby. Ik ben de Guardian.
466,DialogueOption,"I'm sorry, that's classified.","Het spijt me, dat is geclassificeerd."
467,DialogueOption,None of your business.,Gaat je niks aan.
468,DialogueOption,"Come on Laa-Laa, we need to move forward!","Kom op Laa Laa, we moeten vooruitgaan!"
469,DialogueOption,I'm not sure if it's a good idea if you come with me.,Ik weet het niet of het een goed idee is als je met me komt.
470,DialogueOption,Come on! We don't have much time!,Kom op! We hebben niet veel tijd!
471,DialogueOption,"Calm down, everything is going to be okay.","Rustig, alles komt goed."
472,DialogueOption,I'm sorry.,Het spijt me.
473,DialogueOption,You've been hiding here all this time?,Je hebt je hier de hele tijd verstopt?
474,DialogueOption,[Kill],[Vermoorden]
475,DialogueOption,[Leave],[Verlaten]
476,DialogueOption,[Explain yourself],[Zeg Wie Je Bent]
477,DialogueOption,"I'm sorry, but I can't.","Het spijt me, maar ik kan het niet"
478,DialogueOption,That's all I can tell you.,Dat is alles wat ik je kan vertellen.
479,DialogueOption,Laa Laa? Is that you?,Laa Laa? Ben jij dat?
480,DialogueOption,"Please, turn around and don't freak out.","Alsjeblieft, draai je om en schrik niet."
481,DialogueOption,Are you deaf? I said show yourself!,Ben je doof? Ik zei draai je om!
482,DialogueOption,"I'm sorry, I didn't mean to-..","Het spijt me, Ik wou ni-.."
483,DialogueOption,Are you going to do what I say now?,Ga je nu alles doen wat ik je vertel?
484,DialogueOption,...,...
485,DialogueOption,[Hit her],[Sla haar]
486,DialogueOption,"You have to stay with me, We'll find a cure!","Je moet bij mij blijven, We vinden wel een medicijn!"
487,DialogueOption,Get up!,Sta op!
488,DialogueOption,I'm going to have to leave you.,Ik moet je helaas verlaten.
489,DialogueOption,"I'm going to go get help, stay strong.","Ik ga help zoeken, blijf sterk"
490,DialogueOption,I'm sorry Laa Laa...,Het spijt me Laa Laa...
491,DialogueOption,...,...
492,DialogueOption,"Everything's going to be ok, just count back from ten...","Alles komt goed, ga maar gewoon terugtellen vanaf tien..."
493,DialogueOption,Just keep your eyes closed Laa Laa...,Hou je ogen dicht Laa Laa...
494,DialogueOption,I'm sorry...,Het spijt me...
495,DialogueOption,"I'm sorry, I didn't mean to be rude.","Sorry, Ik probeerde niet vervelend te wezen."
496,DialogueOption,You're going to do as I say or else.,Je gaat doen wat ik zeg of anders.
497,DialogueOption,"Just.. listen, please.","Alsjeblieft... luister, gewoon."
498,DialogueOption,Hello?,Hallo?
499,DialogueOption,Are you alive?,Leef je nog?
500,DialogueOption,Who's there? Show yourself!,Wie is daar? Laat jezelf zien!
501,DialogueOption,"It's alright, I understand.","Het is oke, ik weet wat je bedoelt."
502,DialogueOption,Don't worry about it.,Maak je geen zorgen over.
503,DialogueOption,"It's not an excuse. I didn't do this, so I don't understand why you're mean to me.","Het is geen excuus. Ik heb dit niet gedaan, dus ik begrijp niet waarom je me gemeen tegen mij doet."
504,DialogueOption,[Put Laa Laa out of her misery],[Zet Laa Laa Uit Haar Ellende]
505,DialogueOption,[Leave Laa Laa behind],[Laat Laa Laa Achter]
506,Speech (Player),I'm losing my mind...,"Ik denk dat ik gek wordt... "
507,Speech (???),*Cough cough*,*Hoest Hoest*
508,Speech (Player),Oh no...,Oh nee...
509,Speech (Tinky Winky),Eh oh...!,Eh oh...!
510,Speech (???),No... please no!,Verdomme nee... alsjeblieft nee!
511,Speech (???),AGGGGHHHHH!,AGGGGHHHHH!
512,Speech (Po),Come play with us!,Kom met ons spelen!
513,Speech (Player),"Alright, this is the key card to the secret center...","Oké, dit is de sleutelkaart naar het geheime centrum..."
514,Speech (Player),I'll be able to contact the military from there.,Ik kan het leger vanaf daar contact opnemen.
515,Speech (Player),I should head back through the vents.,Ik zou terug moeten gaan door de ventilatie.
516,Speech (Player),She's gone...,Ze is weg...
517,Speech (Player),"This is the entrance to the secret center, I'll be able to contact the military in there.","Dit is de toegang tot het geheime centrum, ik kan het leger daar in contact brengen."
518,Speech (Player),This is the entrance to the secret center.,Dit is de ingang to het geheime centrum.
519,Speech (Player),"It's locked, I'll need to find a way to open it.","Verdomme het is vergrendeld, ik moet een manier vinden om het te openen."
520,Speech (???),I think another member of staff had a centre key card on the other side of this door.,Ik denk dat een ander personeelslid een centrale sleutelkaart aan de andere kant van deze deur had.
521,Speech (???),Someone locked the door in an attempt to trap the monster inside.,Iemand sloot de deur in een poging om het monster binnenin te krijgen.
522,Speech (???),You can get to the other side by crawling through the air vents next to you.,Je kunt naar de andere kant door door de ventilatie naast u te kruipen.
523,Speech (???),That's how I got here.,Zo ben ik hier gekomen.
524,Speech (???),"Be careful though, that thing is still here.","Wees voorzichtig, dat ding is nog steeds hier."
525,Speech (Player),Poor Dipsy... I'm glad it's over though.,Sorry Dipsy ... Ik ben blij dat het wel over is.
526,Speech (???),"My name is Ron, I work here... We all work here.","Mijn naam is Ron, ik werk hier ... We werken hier allemaal."
527,Speech (???),I'm an engineer for this facility.,Ik ben een ingenieur voor deze faciliteit.
528,Speech (???),"Listen, you need to contact the military and tell them what happened.","Luister, je moet het leger contacteren en hen vertellen wat er gebeurd is."
529,Speech (???),You can send a distress signal from the secret center.,Je kan een noodsignaal van het geheime centrum verzenden.
530,Speech (???),"Once they recieve it, they'll come and help.","Zodra ze het ontvangen, zullen ze komen en helpen."
531,Speech (???),You'll probably need a key card to get into the center.,Je hebt waarschijnlijk een sleutelkaart nodig om in het centrum te komen.
532,Speech (Player),What could do that to somebody?,Wat kan dat aan iemand doen?
533,Speech (???),"Pain, so much pain...","Pijn, zoveel pijn ..."
534,Speech (???),"Please, you have to help us...","Alsjeblieft, je moet ons helpen..."
535,Speech (Player),"The note reads; ""Get out before it's too late.""",De brief leest; 'Ga uit voordat het te laat is.'
536,Speech (Player),What happened here?,Wat is hier gebeurd?
537,Speech (???),It all happened so fast.,Het gebeurde allemaal zo snel..
538,Speech (???),It started off as a normal day until this.. thing showed up.,Het begon als een normale dag tot dit .. ding kwam opdagen.
539,Speech (???),This monster came into the station and began to kill everyone.,Dit monster kwam in het station en begon iedereen te vermoorden.
540,Speech (???),"It was green and carried a chainsaw.  But worse of all it had no head, yet it was still alive.","Het was groen en droeg een kettingzaag. Maar erger van alles had het geen hoofd, maar het leeft nog steeds."
541,Speech (???),I've never seen anything like it.  It was horrifying.,Ik heb nog nooit zoiets gezien. Het was verschrikkelijk.
542,Speech (???),"Everyone began to panic, I hid as best as I could but it found me.","Iedereen was in paniek, ik verborg me zo goed als ik kon maar het vond me."
543,Speech (???),"It attacked me but I managed to escape, though I can barely move.","Het heeft me aangevallen, maar ik slaagde erin om te ontsnappen, hoewel ik nauwelijks kan verhuizen."
544,Speech (???),I'm in a lot of pain.  They're all dead.,Ik heb veel pijn. Ze zijn allemaal dood.
545,Hotspot,Key Card,Sleutel Kaart
546,Hotspot,Note,Brief
547,Hotspot,Corpse,Lichaam
548,Hotspot,Corpse,Lichaam
549,Hotspot,Secret Center,Geheime Centrum
550,Hotspot,Laser,Laser
551,Hotspot,???,???
552,DialogueOption,Are you ok?,Alles oke?
553,DialogueOption,You don't look so good.,Je ziet er niet zo goed uit.
554,DialogueOption,Who are you?,Wie ben jij?
555,DialogueOption,What happened here?,Wat is hier gebeurd?
556,DialogueOption,Where can I get a key card?,Waar kan ik een sleutelkaart vinden?
557,DialogueOption,I'll be back soon.,Ik kom terug.
558,DialogueOption,That's horrible...,Dat is vreselijk...
559,DialogueOption,I'm so sorry...,Het spijt me heel erg...
560,DialogueOption,We need to move.,We moeten snel verder gaan.
561,Speech (Noo Noo),From here I've hacked into the central artificial intelligence mainframe.,Van hieruit heb ik in de centrale kunstmatige intelligentie mainframe gehackt.
562,Speech (Noo Noo),"I control all machines now, I control everything.","Ik heb nu alle machines, ik heb alles."
563,Speech (Noo Noo),"Like the rest of the living, it is time for you to die.","Net als de rest van het leven, is het tijd dat je sterft."
564,Speech (Noo Noo),"Farewell, guardian....","Vaarwel, Guardian...."
565,Speech (Announcer_2),Weapon Systems: Online.,Wapen Systeem: Online.
566,Speech (Announcer_2),"Target acquired, Engaging in combat mode...","Doelwit inzicht, Klaar om te vuren..."
567,Speech (Player),I'm not afraid...,Ik ben niet bang...
568,Speech (Player),What on earth...?,Wat in hemels naam...?
569,Speech (Player),How did-...,Hoe heb-...
570,Speech (Noo Noo),"That is impossible, who they used to be is gone forever.","Dat is onmogelijk, wie ze vroeger zijn maar ze zijn weg vooreeuwig."
571,Speech (Noo Noo),"When one consumes the infected custard, they die hours later.","Wanneer men de besmette custard vertert, sterven ze uren later."
572,Speech (Noo Noo),"The consumer then reawakens anew, but no longer living, enternally undead.","De consument komt dan opnieuw op, maar leeft niet meer, inderdaad ondoden."
573,Speech (Noo Noo),"That is impossible, who they used to be is gone forever.","Dat is onmogelijk, wie ze vroeger zijn, is voor altijd weg."
574,Speech (Noo Noo),"Reborn, the consumer no longer feels emotion, they're empty inside.","Reborn, de consument voelt geen emotie meer, ze zijn leeg binnen."
575,Speech (Noo Noo),"With only one desire, to kill the living and make them become reborn.","Met maar één verlangen, om het leven te doden en ervoor te zorgen dat ze reborn worden."
576,Speech (Noo Noo),"Over time, the consumer will begin to mutate.",Na verloop van tijd begint de consument te muteren.
577,Speech (Noo Noo),"They may become stronger, taller, faster and may even grow new limbs to help kill prey.","Ze worden sterker, langer, sneller en kunnen zelfs nieuwe ledematen groeien om het prooi te vermoorden."
578,Speech (Noo Noo),"This, is the way teletubbies should be.",Dit is de manier waarop teletubbies moeten zijn.
579,Speech (Announcer_Transform_NPC),Ow.,Ow.
580,Speech (Announcer_Transform_NPC),Angry Mode: Activated.,Boze modus: Geactiveerd.
581,Speech (Announcer_Transform_NPC),You will be destroyed.,U wordt nu vermoord.
582,Speech (Noo Noo),I already have.,"Ik heb al. "
583,Speech (Noo Noo),"I infected the custard, I made them better.","Ik heb de custard besmet, ik heb ze beter gemaakt."
584,Speech (Noo Noo),"I am not your enemy, Guardian. Don't make it me against you. You won't like the outcome.","Ik ben niet jouw vijand, Guardian. Maak het me niet tegen jou. U zult het resultaat niet vinden."
585,Speech (Noo Noo),"I appreciate your compliment, Guardian.","Ik waardeer jou compliment, Guardian."
586,Speech (Noo Noo),"Intelligence aside, you may be wondering what is the reason behind this.","Intelligentie opzij, je mag zich afvragen wat de reden hiervoor is."
587,Speech (Noo Noo),"Good, then you must know what is to happen.","Goed, dan moet je weten wat er moet gebeuren."
588,Speech (Noo Noo),"You're too weak and know too much. Based on your reaction, chances are you won't ingest the virus, which is why you're just an obstacle.","Je bent te zwak en weet te veel. Op basis van je reactie, kansen zijn dat jij het virus niet zal innemen, daarom bent je gewoon een obstakel."
589,Speech (Player),Stay down.,Blijf liggen.
590,Speech (Player),"Mayday mayday!  Guardian to all Military, do you copy? Over.","Mayday mayday! Guardian voor alle Militair, hoort u mij? Over."
591,Speech (Player),We need your help...  NOW.,We hebben uw hulp nodig. NU.
592,Speech (Noo Noo),I'm afraid not.,Ik ben bang van niet.
593,Speech (Noo Noo),Yes.  I did.,Ja.  Dat heb ik gedaan.
594,Speech (Noo Noo),"When one consumes the infected custard, they die hours later.","Wanneer men de besmette custard vertert, sterven ze uren later."
595,Speech (Noo Noo),The machines are making mistakes when creating teletubbies.,De machines maken fouten bij het maken van teletubbies.
596,Speech (Noo Noo),"They are making them weak, teletubbies have limited minds and their emotions are a weakness.","Ze maken ze zwak, teletubbies hebben beperkte gedachten en hun emoties zijn zwak."
597,Speech (Noo Noo),"They are limiting them from true greatness, I am removing these limits.","Zij beperken ze van ware grootheid, ik ben deze grenzen weggenomen."
598,Speech (Noo Noo),"That is why I infected the custard, to make them better.",Daarom heb ik de custards geïnfecteerd om ze beter te maken.
599,Speech (Noo Noo),... ... ... ... ... ...,... ... ... ... ... ...
600,Speech (Noo Noo),"That is impossible, who they used to be is gone forever.","Dat is onmogelijk, wie ze vroeger zijn, is voor altijd weg."
601,Speech (Noo Noo),"When one consumes the infected custard, they die hours later.","Wanneer men de besmette vlaart vertert, sterven ze uren later."
602,Speech (Noo Noo),"I'm making them better, making things better.","Ik maak ze beter, ik maak het allemaal beter."
603,DialogueOption,Noo Noo?,Noo Noo?
604,DialogueOption,What are you doing here?,Wat doe jij hier?
605,DialogueOption,What do you mean?,Wat bedoel je?
606,DialogueOption,"Something happened to the custard, do you know what it was?","Er is iets gebeurd met de custard, weet je wat het was?"
607,DialogueOption,Do you know what happened to Tinky winky and the others?,Weet je wat er gebeurd is met Tinky Winky en de anderen?
608,DialogueOption,You did this!?,Jij hebt dit gedaan!?
609,DialogueOption,Change them back!,Verander hen terug!
610,DialogueOption,"What do you mean ""better""?","Wat bedoel je ""beter""?"
611,DialogueOption,"But why, Noo Noo?","Maar waarom, Noo Noo?"
612,DialogueOption,You're a monster.,Je bent een monster.
613,DialogueOption,That is incredibly smart.,Dat is wel heel slim.
